id,old_value,new_value
92e8725b-e8aa-4080-bdae-45dec1b3d3d3,100,1
63efeac4-7a12-4bab-850d-e3a27a80ec47,56,5
12724d93-5386-42a3-bd02-eb81d673602e,3,1
5ef6a902-f6d7-4eac-b653-19f642880a90,7,58
28035621-f4ef-42cc-ad91-7dffbea5d011,9,34
be193b8b-65e7-472d-a945-269aab787b33,76,9
c15baf9b-adb9-4364-8ee5-c4d329ed5bdb,56,68
9723bab2-e49a-46dc-a77a-edc259b5ee8f,0,1
541cf578-48f5-468c-af8e-2486d1fb99c0,34,90
eba5fa97-a0d9-49c5-9ac0-ef72ef884465,76,2
f55feb5c-be10-448c-8fd3-c3c31bda9bb8,91,999
77521d4f-d1cc-47e5-a0cd-d39c801da6d3,31,1
76c35468-9338-4665-9398-09c59fe08bc4,45,34
7e3b2474-22a9-4b53-91dd-a8706e834836,7,7
690f8832-6559-4cf8-912b-969f22d864ff,3,46
d2c16614-6b43-4d22-87b4-4010496fe95e,A,67
d59a080f-5b22-47fc-9348-ea017ffb9624,2,1
5d32e1e6-526b-4b5c-a0e5-cfb3e6a9231f,23,22
c2be3a04-50f9-4815-91c0-15c8b7de867c,6,90
5ba0ca68-5705-43d5-aa06-dcaef1c62b9b,56,50